timestamp_utc,packet_index,mode,selected_icao,status,icao_result,encrypt_or_select_ms,packet_build_ms,send_ms,total_packet_ms,packet_hex
2026-04-18T09:53:14.680Z,39,u,7C1D2E,PLAIN,7C1D2E,0.004297,0.086357,0.091541,0.212591,8E7C1D2EE485EBA307CB9DD6A3BE
2026-04-18T09:53:14.781Z,40,u,A1B2C3,PLAIN,A1B2C3,0.004069,0.057489,0.129646,0.220664,88A1B2C3458CF25E140067A18012
2026-04-18T09:53:14.881Z,41,u,A1B2C3,PLAIN,A1B2C3,0.004026,0.057366,0.091351,0.181777,8FA1B2C36A8D0BE0106548FF5FBA
2026-04-18T09:53:14.982Z,42,u,A58B4D,PLAIN,A58B4D,0.004369,0.052317,0.107662,0.192762,8DA58B4D224D91E44ED52C5A8F55
2026-04-18T09:53:15.082Z,43,u,C0FFEE,PLAIN,C0FFEE,0.004307,0.064440,0.092532,0.191582,8FC0FFEEBAB6A312D980D62039EF
2026-04-18T09:53:15.183Z,44,u,7C1D2E,PLAIN,7C1D2E,0.003896,0.053428,0.114267,0.198559,897C1D2E8721A8802C5322710E4B
2026-04-18T09:53:15.283Z,45,u,A1B2C3,PLAIN,A1B2C3,0.003872,0.062105,0.088754,0.181922,8AA1B2C3FBDA0A402996CC5700F7
2026-04-18T09:53:15.384Z,46,u,A58B4D,PLAIN,A58B4D,0.004613,0.054507,0.124935,0.212888,88A58B4DA2817CB1ACC36FFB7119
2026-04-18T09:53:15.484Z,47,u,A58B4D,PLAIN,A58B4D,0.004668,0.056348,0.092352,0.181676,8FA58B4D7D599C360D8E887F46F6
2026-04-18T09:53:15.585Z,48,u,A58B4D,PLAIN,A58B4D,0.004023,0.080838,0.111818,0.225945,88A58B4D18A12C038333F0C2582A
2026-04-18T09:53:15.685Z,49,u,A58B4D,PLAIN,A58B4D,0.003903,0.066618,0.115711,0.213462,8FA58B4D0CAD81D6281EDFDDE263
2026-04-18T09:53:15.786Z,50,u,A1B2C3,PLAIN,A1B2C3,0.004471,0.065134,0.139300,0.236124,8EA1B2C33B8880513CDFDA9E0F85
2026-04-18T09:53:15.886Z,51,u,A1B2C3,PLAIN,A1B2C3,0.004740,0.057242,0.091547,0.190862,89A1B2C374A68B3D48601D86C197
2026-04-18T09:53:15.987Z,52,u,A58B4D,PLAIN,A58B4D,0.003932,0.053357,0.113771,0.198873,8EA58B4D39EB845D215B80797E9F
2026-04-18T09:53:16.087Z,53,u,A58B4D,PLAIN,A58B4D,0.004234,0.062747,0.086316,0.180464,89A58B4DCEDEF388FDF716E1E053
2026-04-18T09:53:16.188Z,54,u,A1B2C3,PLAIN,A1B2C3,0.004182,0.051292,0.104884,0.196691,8AA1B2C38BB9E24BAF78D3FCA9D2
2026-04-18T09:53:16.288Z,55,u,C0FFEE,PLAIN,C0FFEE,0.004371,0.052074,0.086783,0.171385,89C0FFEE414F9ED2C2AF78D8C9E2
2026-04-18T09:53:16.389Z,56,u,7C1D2E,PLAIN,7C1D2E,0.004212,0.069681,0.088438,0.191049,887C1D2E1C5C199E291EB4071EC5
2026-04-18T09:53:16.489Z,57,u,C0FFEE,PLAIN,C0FFEE,0.004056,0.054443,0.091264,0.178716,88C0FFEE2202D00C47CF17D20D86
2026-04-18T09:53:16.589Z,58,u,45AB3C,PLAIN,45AB3C,0.004566,0.054193,0.087510,0.172952,8A45AB3C52178BC33FD31BA7D976
2026-04-18T09:53:16.690Z,59,u,A58B4D,PLAIN,A58B4D,0.004399,0.052201,0.073317,0.157733,89A58B4D58F82AC0B2272B9924DD
2026-04-18T09:53:16.790Z,60,u,A58B4D,PLAIN,A58B4D,0.004529,0.055904,0.083626,0.171807,8FA58B4DFB10A32B12934F0BD3A5
2026-04-18T09:53:16.891Z,61,u,7C1D2E,PLAIN,7C1D2E,0.004796,0.057687,0.108297,0.209315,8A7C1D2E53FFC3D4F7237B1B9FB7
2026-04-18T09:53:16.991Z,62,u,7C1D2E,PLAIN,7C1D2E,0.003970,0.052615,0.112535,0.195201,897C1D2E2918EFB59A9C934D380C
2026-04-18T09:53:17.091Z,63,u,C0FFEE,PLAIN,C0FFEE,0.004616,0.054504,0.097268,0.193782,8DC0FFEE0FA1091E6734A98E1978
2026-04-18T09:53:17.192Z,64,u,A1B2C3,PLAIN,A1B2C3,0.003994,0.052337,0.084655,0.178779,8FA1B2C3F97C61AAA204175731D7
2026-04-18T09:53:17.292Z,65,u,7C1D2E,PLAIN,7C1D2E,0.004486,0.055304,0.089285,0.185249,8F7C1D2E2B4CCB86E4F88205D84B
2026-04-18T09:53:17.393Z,66,u,A1B2C3,PLAIN,A1B2C3,0.004323,0.061179,0.083163,0.196549,88A1B2C3504541A9CE80C88CA57E
2026-04-18T09:53:17.493Z,67,u,45AB3C,PLAIN,45AB3C,0.004553,0.055352,0.115178,0.212294,8A45AB3CEE128E18C7B7B1993FD1
2026-04-18T09:53:17.594Z,68,u,A1B2C3,PLAIN,A1B2C3,0.004711,0.056178,0.091195,0.190514,8BA1B2C3ED00112E99CEE9964245
2026-04-18T09:53:17.694Z,69,u,A58B4D,PLAIN,A58B4D,0.004224,0.056419,0.091367,0.188723,8CA58B4D121AA17F5BC0145E9CD1
2026-04-18T09:53:17.795Z,70,u,A1B2C3,PLAIN,A1B2C3,0.004817,0.074772,0.089951,0.208281,8FA1B2C3286EBBA4EC9562BCA6EF
2026-04-18T09:53:17.895Z,71,u,A58B4D,PLAIN,A58B4D,0.003623,0.047670,0.071525,0.156237,88A58B4D6900131BFE47FA72AA48
